model,seed,return_type,method,forward,backward,zumbach
primary,1310021,log,trim_950,0.12350235419063917,0.13999783017659573,-0.016495475985956593
primary,1370003,log,trim_950,0.15057466133047415,0.13259365567674766,0.01798100565372648
primary,1230001,log,trim_975,0.12221961043526347,0.12576701797983939,-0.0035474075445759115
primary,1270009,log,trim_975,0.16710734955220957,0.1099208667460096,0.057186482806199965
primary,1290017,log,trim_975,0.1553761508580216,0.1608588330479307,-0.0054826821899091015
primary,1310021,log,trim_975,0.16419523343000333,0.13418013928302439,0.03001509414697895
primary,1370003,log,trim_975,0.20029681281752143,0.14474977713360476,0.05554703568391667
primary,1230001,log,trim_990,0.17574930255712945,0.1336900910383727,0.04205921151875676
primary,1270009,log,trim_990,0.20672929030438786,0.10825008699194087,0.09847920331244699
primary,1290017,log,trim_990,0.21967852844573638,0.17611569637705554,0.04356283206868083
primary,1310021,log,trim_990,0.21669845522029732,0.13907455808331992,0.0776238971369774
primary,1370003,log,trim_990,0.23713245702042476,0.1516136508965028,0.08551880612392199
primary,1230001,log,trim_995,0.21484804862382667,0.13653328907210416,0.07831475955172254
primary,1270009,log,trim_995,0.22997738330364484,0.10869531440173232,0.12128206890191257
primary,1290017,log,trim_995,0.2613128331239772,0.18528392352522444,0.07602890959875275
primary,1310021,log,trim_995,0.23509268083058613,0.13815269413103,0.0969399866995561
primary,1370003,log,trim_995,0.25024336162165134,0.15117969025707845,0.0990636713645729
primary,1230001,log,winsor_950,0.20696298504863972,0.16741458272633636,0.03954840232230335
primary,1270009,log,winsor_950,0.24090800868646825,0.13641238872604095,0.10449561996042736
primary,1290017,log,winsor_950,0.25253120324903655,0.22407050850042676,0.028460694748609818
primary,1310021,log,winsor_950,0.2480831641830258,0.17337847148061442,0.0747046927024114
primary,1370003,log,winsor_950,0.2686398277875877,0.18436824332782678,0.08427158445976092
