model,seed,path,return_type,window,direction,decile,mean_standardized_response,count
primary,1230001,2,ito,20,backward,8,0.34125301689167625,122
primary,1230001,2,ito,20,backward,9,-0.10334369441484834,122
primary,1230001,2,ito,20,backward,10,0.011079192215507797,122
primary,1230001,3,log,5,forward,1,-0.12309655283451217,125
primary,1230001,3,log,5,forward,2,-0.24410704696522018,125
primary,1230001,3,log,5,forward,3,-0.05171344937228011,125
primary,1230001,3,log,5,forward,4,-0.2288308574712727,125
primary,1230001,3,log,5,forward,5,-0.17881870822200363,125
primary,1230001,3,log,5,forward,6,-0.14032970529161085,125
primary,1230001,3,log,5,forward,7,-0.1711942811578302,125
primary,1230001,3,log,5,forward,8,-0.006212569204976568,125
primary,1230001,3,log,5,forward,9,0.2557953022839383,125
primary,1230001,3,log,5,forward,10,0.8885078682357704,125
primary,1230001,3,log,5,backward,1,-0.16861236071643668,125
primary,1230001,3,log,5,backward,2,-0.17987073518239843,125
primary,1230001,3,log,5,backward,3,-0.05387846376444666,125
primary,1230001,3,log,5,backward,4,-0.15285784726502427,125
primary,1230001,3,log,5,backward,5,-0.11901739013098915,125
primary,1230001,3,log,5,backward,6,-0.07015544466978255,125
primary,1230001,3,log,5,backward,7,0.10560750437366029,125
primary,1230001,3,log,5,backward,8,0.11632645092727278,125
primary,1230001,3,log,5,backward,9,0.24201677697922114,125
primary,1230001,3,log,5,backward,10,0.2804415094489238,125
primary,1230001,3,log,10,forward,1,-0.17261845978619464,124
primary,1230001,3,log,10,forward,2,-0.13306904023193913,124
primary,1230001,3,log,10,forward,3,-0.1145490774360618,124
primary,1230001,3,log,10,forward,4,-0.18486243221189072,124
primary,1230001,3,log,10,forward,5,-0.014961421752388251,124
primary,1230001,3,log,10,forward,6,-0.09181527995314678,124
primary,1230001,3,log,10,forward,7,-0.23308857463277627,124
primary,1230001,3,log,10,forward,8,-0.14422799908492745,124
primary,1230001,3,log,10,forward,9,0.0769512556078355,124
primary,1230001,3,log,10,forward,10,1.0122410294814908,124
primary,1230001,3,log,10,backward,1,-0.15664692340528663,124
primary,1230001,3,log,10,backward,2,-0.1446376343832651,124
primary,1230001,3,log,10,backward,3,0.005255779137465213,124
primary,1230001,3,log,10,backward,4,-0.1012656451829994,124
primary,1230001,3,log,10,backward,5,-0.05318657840677133,124
primary,1230001,3,log,10,backward,6,-0.1144311976591159,124
primary,1230001,3,log,10,backward,7,-0.12378190501232267,124
primary,1230001,3,log,10,backward,8,0.05898909024985278,124
primary,1230001,3,log,10,backward,9,0.16652174395093206,124
primary,1230001,3,log,10,backward,10,0.4631832707115105,124
primary,1230001,3,log,20,forward,1,0.03794799635610449,122
primary,1230001,3,log,20,forward,2,-0.08452822917367105,122
primary,1230001,3,log,20,forward,3,-0.10484427414448132,122
primary,1230001,3,log,20,forward,4,-0.1408325486675515,122
primary,1230001,3,log,20,forward,5,-0.1970368980488557,122
primary,1230001,3,log,20,forward,6,-0.1413968163925854,122
primary,1230001,3,log,20,forward,7,-0.2140406967841691,122
primary,1230001,3,log,20,forward,8,0.08284973234598912,122
primary,1230001,3,log,20,forward,9,0.11107240866477668,122
primary,1230001,3,log,20,forward,10,0.6508093258444434,122
primary,1230001,3,log,20,backward,1,-0.30021538626365174,122
primary,1230001,3,log,20,backward,2,-0.2185329324161061,122
primary,1230001,3,log,20,backward,3,-0.18128961354357978,122
primary,1230001,3,log,20,backward,4,-0.1852915653672505,122
primary,1230001,3,log,20,backward,5,-0.17971515531604848,122
primary,1230001,3,log,20,backward,6,-0.14709702296602128,122
primary,1230001,3,log,20,backward,7,-0.08434462751632901,122
primary,1230001,3,log,20,backward,8,0.15240845555745267,122
primary,1230001,3,log,20,backward,9,0.2529640188602068,122
primary,1230001,3,log,20,backward,10,0.8911138289713271,122
primary,1230001,3,ito,5,forward,1,-0.1525272777847539,125
primary,1230001,3,ito,5,forward,2,-0.20397417366483855,125
primary,1230001,3,ito,5,forward,3,-0.09582288467291716,125
primary,1230001,3,ito,5,forward,4,-0.23254588545466937,125
primary,1230001,3,ito,5,forward,5,-0.12411581056163903,125
primary,1230001,3,ito,5,forward,6,-0.1832428243970091,125
primary,1230001,3,ito,5,forward,7,-0.10072082643210893,125
primary,1230001,3,ito,5,forward,8,-0.05220126237333619,125
primary,1230001,3,ito,5,forward,9,0.26730545102893677,125
primary,1230001,3,ito,5,forward,10,0.8778454943123378,125
primary,1230001,3,ito,5,backward,1,-0.16893109618415128,125
primary,1230001,3,ito,5,backward,2,-0.18082586256333286,125
primary,1230001,3,ito,5,backward,3,-0.05383029301278209,125
