model,seed,path,return_type,window,method,forward,backward,zumbach,forward_count,backward_count
primary,1230001,3,ito,5,kendall,0.14878718975180144,0.1350853482786229,0.013701841473178544,1250,1250
primary,1230001,3,ito,5,winsor_995,0.410241596037687,0.18838691232042853,0.22185468371725847,1250,1250
primary,1230001,3,ito,5,winsor_990,0.3956907561152372,0.21674888846219112,0.17894186765304607,1250,1250
primary,1230001,3,ito,5,winsor_975,0.35517195968624976,0.22138093282556795,0.1337910268606818,1250,1250
primary,1230001,3,ito,5,winsor_950,0.3242964650159909,0.2071400384879214,0.11715642652806951,1250,1250
primary,1230001,3,ito,5,trim_995,0.31444729189609166,0.16768806660345387,0.1467592252926378,1237,1236
primary,1230001,3,ito,5,trim_990,0.27768506491669226,0.18322228441368363,0.09446278050300863,1228,1224
primary,1230001,3,ito,5,trim_975,0.1844302831481909,0.14483627025613346,0.03959401289205744,1193,1189
primary,1230001,3,ito,5,trim_950,0.14105247568061166,0.13015033467559642,0.010902141005015242,1144,1137
primary,1230001,3,ito,10,pearson,0.35841965756622385,0.12201994443131653,0.23639971313490732,1240,1240
