structural_scenario_id,candidate_id,variant,seed_pass_fraction,mean_distance,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,max_abs_return_acf,mean_log_variance_acf,p_cap_exceedance_fraction,passes_majority,passes_80pct,passes_all_seeds
0,1,M2,0.2,0.0080805749956235,0.06471573293927754,-0.0208830203808993,0.029891562634558732,11.914900098244223,0.07738910113008153,0.15965293429401756,0.0005318562610229277,False,False,False
3,5,M2,0.0,0.005853280081818922,0.0655527374303794,-0.02098108515706256,0.03534573178390869,9.011317923672589,0.07268239804676094,0.19561291673888548,6.062610229276895e-05,False,False,False
2,5,M2,0.0,0.006077608338742941,0.06562875111164244,-0.020967037345346485,0.037214029798167306,9.083777820711655,0.07291020727286923,0.19513132932206217,6.613756613756613e-05,False,False,False
3,29,M2,0.0,0.006976752469290458,0.06497084481622377,-0.02048933868828866,0.029391938544547025,10.63680026050576,0.07497565958059885,0.17549961032291053,6.062610229276895e-05,False,False,False
2,29,M2,0.0,0.0072219142507718645,0.06503092532110527,-0.020520413543685383,0.031150567067474228,10.711602340898088,0.07526279176824172,0.17499478179683245,6.613756613756613e-05,False,False,False
3,1,M2,0.0,0.0075494789742139344,0.06450959685377847,-0.020709740188866184,0.026579446770522475,11.700936388502393,0.07643750522950901,0.16061461195947807,0.00048776455026455025,False,False,False
2,1,M2,0.0,0.0078406378723606,0.06456385450570053,-0.020751483957561274,0.028135577540514572,11.78291699624272,0.07671209799810987,0.16015035382648585,0.0005042989417989418,False,False,False
1,15,M2,0.0,0.008865895058487797,0.06342336542360005,-0.02062246855269339,0.03412324163406343,9.738076596811116,0.07380462579327986,0.20091980193761172,2.48015873015873e-05,False,False,False
3,15,M2,0.0,0.00891309801742885,0.06310969662379139,-0.02093475002986449,0.028789230116279922,9.634297005021429,0.07345836470584918,0.20185383204372015,2.755731922398589e-05,False,False,False
2,15,M2,0.0,0.0090345964017747,0.06320314131337777,-0.020953143120907895,0.03028988462845699,9.711319729522716,0.07365854583568714,0.20138058762497613,2.48015873015873e-05,False,False,False
0,15,M2,0.0,0.00904775351523791,0.0633964459100114,-0.02102707609041747,0.031824952552190505,9.816942563888817,0.07422295312043939,0.20087972734495557,2.204585537918871e-05,False,False,False
1,13,M2,0.0,0.014982055371541961,0.060419357749236666,-0.021343735844421917,0.031033604896090194,10.832186306162566,0.07474129468609743,0.17116347137042864,0.00011298500881834215,False,False,False
0,13,M2,0.0,0.015239415713183584,0.060384089032556695,-0.021755738868391036,0.02874306790703824,10.92250221572474,0.07512940317679094,0.17119261961351967,0.00011022927689594356,False,False,False
3,13,M2,0.0,0.015312163616267388,0.060104359182513244,-0.021623362456969508,0.025636582565879983,10.734087712860694,0.07417578492324733,0.1720561986126681,9.92063492063492e-05,False,False,False
2,13,M2,0.0,0.01535923441567888,0.060195749284122343,-0.021665734603932674,0.02722364885869391,10.814748882832752,0.07451327618002335,0.17163620916730002,0.00010747354497354496,False,False,False
1,25,M2,0.0,0.015482322710297805,0.060167738147491504,-0.022540676991155893,0.03715573425704837,9.443057735404041,0.07274757498680454,0.1700806919320664,2.755731922398589e-05,False,False,False
0,25,M2,0.0,0.01566728638391383,0.06014826658759877,-0.022985929443629722,0.03484462299705275,9.526984621634428,0.0731410349046099,0.170118658414282,2.755731922398589e-05,False,False,False
3,25,M2,0.0,0.015723244284700472,0.05988465116551942,-0.022937006570130307,0.03125369404248175,9.351478576140323,0.07226924596775244,0.17098144859716272,2.755731922398589e-05,False,False,False
2,25,M2,0.0,0.015780669733389596,0.059971183702252365,-0.022920752745608973,0.03306037437023237,9.424969878875528,0.07255781459296594,0.17056283742948758,2.755731922398589e-05,False,False,False
1,19,M2,0.0,0.016338602469945954,0.0596542750384836,-0.020346367074028066,0.02620953476629174,11.04697509446145,0.07456735808819297,0.19722722529619827,0.00020116843033509698,False,False,False
0,19,M2,0.0,0.016558640655059693,0.05962560420733539,-0.020732178749246644,0.02400800932236435,11.134919386753852,0.07501973585756123,0.19716007126466592,0.00020392416225749557,False,False,False
